  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000070E+01  -0.4060152E-03   0.1000070E+01  -0.7086795E-05
 0.2099800E+00   0.1000070E+01  -0.4060152E-03   0.1000070E+01  -0.7086795E-05
 0.4000000E+00   0.1000256E+01  -0.1501510E-02   0.1000256E+01  -0.2621301E-04
 0.6000000E+00   0.1000574E+01  -0.3389468E-02   0.1000574E+01  -0.5919133E-04
 0.8000000E+00   0.1001023E+01  -0.6090954E-02   0.1001023E+01  -0.1064159E-03
 0.1000000E+01   0.1001607E+01  -0.9674104E-02   0.1001607E+01  -0.1691163E-03
 0.1200000E+01   0.1002333E+01  -0.1425770E-01   0.1002333E+01  -0.2494245E-03
 0.1400000E+01   0.1003214E+01  -0.2006928E-01   0.1003214E+01  -0.3514008E-03
 0.1600000E+01   0.1004270E+01  -0.2760677E-01   0.1004270E+01  -0.4838866E-03
 0.1800000E+01   0.1005546E+01  -0.3818351E-01   0.1005546E+01  -0.6701238E-03
 0.2000000E+01   0.1007142E+01  -0.5638708E-01   0.1007141E+01  -0.9911687E-03
 0.2200000E+01   0.1009285E+01  -0.1075575E+00   0.1009283E+01  -0.1894662E-02
 0.2400000E+01   0.1010152E+01  -0.2686534E+00   0.1010141E+01  -0.4736472E-02
 0.2600000E+01   0.1007709E+01  -0.2808569E+00   0.1007696E+01  -0.4939644E-02
 0.2800000E+01   0.1009581E+01  -0.1455144E+00   0.1009578E+01  -0.2564036E-02
 0.3000000E+01   0.1012235E+01  -0.1234232E+00   0.1012233E+01  -0.2180496E-02
 0.3200000E+01   0.1014877E+01  -0.1379918E+00   0.1014874E+01  -0.2444240E-02
 0.3400000E+01   0.1017641E+01  -0.1890951E+00   0.1017636E+01  -0.3358548E-02
 0.3600000E+01   0.1019441E+01  -0.2954009E+00   0.1019427E+01  -0.5255927E-02
 0.3800000E+01   0.1019442E+01  -0.3199599E+00   0.1019426E+01  -0.5692897E-02
 0.4000000E+01   0.1021538E+01  -0.2386703E+00   0.1021529E+01  -0.4255290E-02
 0.4200000E+01   0.1024702E+01  -0.2170830E+00   0.1024694E+01  -0.3882394E-02
 0.4400000E+01   0.1027959E+01  -0.2235874E+00   0.1027951E+01  -0.4011430E-02
 0.4600000E+01   0.1031301E+01  -0.2407481E+00   0.1031292E+01  -0.4333356E-02
 0.4800000E+01   0.1034792E+01  -0.2639465E+00   0.1034781E+01  -0.4766995E-02
 0.5000000E+01   0.1038482E+01  -0.2922620E+00   0.1038469E+01  -0.5297206E-02
 0.5200000E+01   0.1042419E+01  -0.3262891E+00   0.1042402E+01  -0.5936358E-02
 0.5400000E+01   0.1046656E+01  -0.3679479E+00   0.1046634E+01  -0.6721477E-02
 0.5600000E+01   0.1051259E+01  -0.4212988E+00   0.1051231E+01  -0.7729893E-02
 0.5800000E+01   0.1056310E+01  -0.4949466E+00   0.1056270E+01  -0.9124762E-02
 0.6000000E+01   0.1061857E+01  -0.6082291E+00   0.1061797E+01  -0.1127204E-01
 0.6200000E+01   0.1067589E+01  -0.8033208E+00   0.1067484E+01  -0.1496774E-01
 0.6400000E+01   0.1071497E+01  -0.1117209E+01   0.1071293E+01  -0.2089177E-01
 0.6600000E+01   0.1071208E+01  -0.1366347E+01   0.1070904E+01  -0.2554296E-01
 0.6800000E+01   0.1069981E+01  -0.1392090E+01   0.1069665E+01  -0.2599431E-01
 0.7000000E+01   0.1071380E+01  -0.1211216E+01   0.1071141E+01  -0.2264697E-01
 0.7200000E+01   0.1077038E+01  -0.1045250E+01   0.1076859E+01  -0.1964737E-01
 0.7400000E+01   0.1084421E+01  -0.9850443E+00   0.1084261E+01  -0.1864274E-01
 0.7600000E+01   0.1092320E+01  -0.9971445E+00   0.1092154E+01  -0.1900918E-01
 0.7800000E+01   0.1100562E+01  -0.1055598E+01   0.1100375E+01  -0.2027523E-01
 0.8000000E+01   0.1109222E+01  -0.1152498E+01   0.1108997E+01  -0.2231037E-01
 0.8200000E+01   0.1118364E+01  -0.1291755E+01   0.1118080E+01  -0.2521181E-01
