  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000004E+01  -0.1805089E-04   0.1000004E+01  -0.3150486E-06
 0.2099800E+00   0.1000004E+01  -0.1805089E-04   0.1000004E+01  -0.3150486E-06
 0.4000000E+00   0.1000013E+01  -0.6723499E-04   0.1000013E+01  -0.1173488E-05
 0.6000000E+00   0.1000030E+01  -0.1524812E-03   0.1000030E+01  -0.2661379E-05
 0.8000000E+00   0.1000053E+01  -0.2744236E-03   0.1000053E+01  -0.4789850E-05
 0.1000000E+01   0.1000083E+01  -0.4346593E-03   0.1000083E+01  -0.7586865E-05
 0.1200000E+01   0.1000119E+01  -0.6348635E-03   0.1000119E+01  -0.1108178E-04
 0.1400000E+01   0.1000163E+01  -0.8768143E-03   0.1000163E+01  -0.1530578E-04
 0.1600000E+01   0.1000212E+01  -0.1162442E-02   0.1000212E+01  -0.2029276E-04
 0.1800000E+01   0.1000269E+01  -0.1493940E-02   0.1000269E+01  -0.2608118E-04
 0.2000000E+01   0.1000333E+01  -0.1873977E-02   0.1000333E+01  -0.3271794E-04
 0.2200000E+01   0.1000403E+01  -0.2305482E-02   0.1000403E+01  -0.4025447E-04
 0.2400000E+01   0.1000481E+01  -0.2775454E-02   0.1000481E+01  -0.4846413E-04
 0.2600000E+01   0.1000569E+01  -0.3698495E-02   0.1000569E+01  -0.6458766E-04
 0.2800000E+01   0.1000649E+01  -0.4154213E-02   0.1000649E+01  -0.7255177E-04
 0.3000000E+01   0.1000749E+01  -0.4624714E-02   0.1000749E+01  -0.8077692E-04
 0.3200000E+01   0.1000855E+01  -0.5308199E-02   0.1000855E+01  -0.9272480E-04
 0.3400000E+01   0.1000970E+01  -0.6127776E-02   0.1000970E+01  -0.1070536E-03
 0.3600000E+01   0.1001092E+01  -0.7193904E-02   0.1001092E+01  -0.1256944E-03
 0.3800000E+01   0.1001215E+01  -0.8636193E-02   0.1001215E+01  -0.1509131E-03
 0.4000000E+01   0.1001333E+01  -0.9535295E-02   0.1001333E+01  -0.1666442E-03
 0.4200000E+01   0.1001474E+01  -0.1003003E-01   0.1001474E+01  -0.1753150E-03
 0.4400000E+01   0.1001625E+01  -0.1096413E-01   0.1001625E+01  -0.1916712E-03
 0.4600000E+01   0.1001784E+01  -0.1209861E-01   0.1001784E+01  -0.2115372E-03
 0.4800000E+01   0.1001949E+01  -0.1335396E-01   0.1001949E+01  -0.2335249E-03
 0.5000000E+01   0.1002123E+01  -0.1471343E-01   0.1002123E+01  -0.2573430E-03
 0.5200000E+01   0.1002304E+01  -0.1617568E-01   0.1002304E+01  -0.2829695E-03
 0.5400000E+01   0.1002495E+01  -0.1774491E-01   0.1002495E+01  -0.3104797E-03
 0.5600000E+01   0.1002694E+01  -0.1942899E-01   0.1002693E+01  -0.3400133E-03
 0.5800000E+01   0.1002902E+01  -0.2124042E-01   0.1002902E+01  -0.3717910E-03
 0.6000000E+01   0.1003119E+01  -0.2320028E-01   0.1003119E+01  -0.4061844E-03
 0.6200000E+01   0.1003347E+01  -0.2534961E-01   0.1003347E+01  -0.4439150E-03
 0.6400000E+01   0.1003586E+01  -0.2778136E-01   0.1003586E+01  -0.4866149E-03
 0.6600000E+01   0.1003833E+01  -0.3068770E-01   0.1003833E+01  -0.5376544E-03
