  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000547E+01  -0.2320518E-02   0.1000547E+01  -0.4052285E-04
 0.2099800E+00   0.1000547E+01  -0.2320518E-02   0.1000547E+01  -0.4052285E-04
 0.4000000E+00   0.1002011E+01  -0.8525476E-02   0.1002011E+01  -0.1490968E-03
 0.6000000E+00   0.1004497E+01  -0.1905243E-01   0.1004497E+01  -0.3340230E-03
 0.8000000E+00   0.1007979E+01  -0.3374175E-01   0.1007979E+01  -0.5936037E-03
 0.1000000E+01   0.1012457E+01  -0.5247789E-01   0.1012456E+01  -0.9273212E-03
 0.1200000E+01   0.1017920E+01  -0.7499349E-01   0.1017920E+01  -0.1332339E-02
 0.1400000E+01   0.1024342E+01  -0.1006769E+00   0.1024341E+01  -0.1799916E-02
 0.1600000E+01   0.1031654E+01  -0.1280552E+00   0.1031651E+01  -0.2305729E-02
 0.1800000E+01   0.1039682E+01  -0.1531514E+00   0.1039678E+01  -0.2779063E-02
 0.2000000E+01   0.1047965E+01  -0.1627297E+00   0.1047961E+01  -0.2976393E-02
 0.2200000E+01   0.1055050E+01  -0.9050343E-01   0.1055049E+01  -0.1666538E-02
 0.2400000E+01   0.1060866E+01   0.5625099E+00   0.1060815E+01   0.1041505E-01
 0.2600000E+01   0.1116075E+01   0.1664347E+01   0.1115604E+01   0.3241555E-01
 0.2800000E+01   0.1131283E+01  -0.1551427E-01   0.1131283E+01  -0.3063233E-03
 0.3000000E+01   0.1142834E+01  -0.3979193E+00   0.1142807E+01  -0.7936921E-02
 0.3200000E+01   0.1159396E+01  -0.5529894E+00   0.1159342E+01  -0.1118972E-01
 0.3400000E+01   0.1179344E+01  -0.6745752E+00   0.1179262E+01  -0.1388476E-01
 0.3600000E+01   0.1201978E+01  -0.8051024E+00   0.1201859E+01  -0.1688926E-01
 0.3800000E+01   0.1225977E+01  -0.9502644E+00   0.1225809E+01  -0.2033220E-01
 0.4000000E+01   0.1253087E+01  -0.1026474E+01   0.1252886E+01  -0.2244831E-01
 0.4200000E+01   0.1283399E+01  -0.1138538E+01   0.1283146E+01  -0.2550105E-01
 0.4400000E+01   0.1316494E+01  -0.1268900E+01   0.1316171E+01  -0.2915333E-01
 0.4600000E+01   0.1352612E+01  -0.1411426E+01   0.1352202E+01  -0.3331692E-01
 0.4800000E+01   0.1392054E+01  -0.1565492E+01   0.1391534E+01  -0.3803033E-01
 0.5000000E+01   0.1435150E+01  -0.1731467E+01   0.1434495E+01  -0.4336334E-01
 0.5200000E+01   0.1482271E+01  -0.1909796E+01   0.1481447E+01  -0.4939825E-01
 0.5400000E+01   0.1533828E+01  -0.2100560E+01   0.1532798E+01  -0.5622014E-01
 0.5600000E+01   0.1590272E+01  -0.2302792E+01   0.1588988E+01  -0.6389789E-01
 0.5800000E+01   0.1652070E+01  -0.2512868E+01   0.1650481E+01  -0.7243294E-01
 0.6000000E+01   0.1719673E+01  -0.2720030E+01   0.1717735E+01  -0.8160819E-01
 0.6200000E+01   0.1793537E+01  -0.2892498E+01   0.1791252E+01  -0.9050579E-01
 0.6400000E+01   0.1875198E+01  -0.2940353E+01   0.1872730E+01  -0.9619077E-01
