  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000622E+01  -0.3064319E-02   0.1000622E+01  -0.5351574E-04
 0.2099800E+00   0.1000622E+01  -0.3064319E-02   0.1000622E+01  -0.5351574E-04
 0.4000000E+00   0.1002285E+01  -0.1124121E-01   0.1002285E+01  -0.1966444E-03
 0.6000000E+00   0.1005104E+01  -0.2505800E-01   0.1005104E+01  -0.4395770E-03
 0.8000000E+00   0.1009044E+01  -0.4420919E-01   0.1009044E+01  -0.7785744E-03
 0.1000000E+01   0.1014090E+01  -0.6837901E-01   0.1014089E+01  -0.1210254E-02
 0.1200000E+01   0.1020210E+01  -0.9693109E-01   0.1020209E+01  -0.1725957E-02
 0.1400000E+01   0.1027340E+01  -0.1285393E+00   0.1027338E+01  -0.2304768E-02
 0.1600000E+01   0.1035340E+01  -0.1602255E+00   0.1035336E+01  -0.2895288E-02
 0.1800000E+01   0.1043904E+01  -0.1844247E+00   0.1043898E+01  -0.3360131E-02
 0.2000000E+01   0.1052282E+01  -0.1776575E+00   0.1052277E+01  -0.3262813E-02
 0.2200000E+01   0.1058395E+01  -0.3609613E-01   0.1058395E+01  -0.6667851E-03
 0.2400000E+01   0.1061384E+01   0.1011004E+01   0.1061219E+01   0.1872753E-01
 0.2600000E+01   0.1109568E+01   0.3405988E+01   0.1107609E+01   0.6592025E-01
 0.2800000E+01   0.1171530E+01   0.7120998E+00   0.1171439E+01   0.1455997E-01
 0.3000000E+01   0.1181103E+01  -0.2937369E+00   0.1181088E+01  -0.6055108E-02
 0.3200000E+01   0.1196756E+01  -0.6248644E+00   0.1196685E+01  -0.1305150E-01
 0.3400000E+01   0.1217967E+01  -0.8180696E+00   0.1217843E+01  -0.1738955E-01
 0.3600000E+01   0.1243124E+01  -0.9732546E+00   0.1242945E+01  -0.2111531E-01
 0.3800000E+01   0.1271843E+01  -0.1147937E+01   0.1271588E+01  -0.2548003E-01
 0.4000000E+01   0.1302653E+01  -0.1306420E+01   0.1302314E+01  -0.2969965E-01
 0.4200000E+01   0.1337290E+01  -0.1454909E+01   0.1336859E+01  -0.3395409E-01
 0.4400000E+01   0.1375359E+01  -0.1619865E+01   0.1374810E+01  -0.3887895E-01
 0.4600000E+01   0.1416964E+01  -0.1796967E+01   0.1416268E+01  -0.4443295E-01
 0.4800000E+01   0.1462383E+01  -0.1985360E+01   0.1461506E+01  -0.5066301E-01
 0.5000000E+01   0.1511943E+01  -0.2185216E+01   0.1510844E+01  -0.5765036E-01
 0.5200000E+01   0.1566011E+01  -0.2396555E+01   0.1564642E+01  -0.6548369E-01
 0.5400000E+01   0.1624991E+01  -0.2618675E+01   0.1623294E+01  -0.7424353E-01
 0.5600000E+01   0.1689309E+01  -0.2849273E+01   0.1687220E+01  -0.8397333E-01
 0.5800000E+01   0.1759392E+01  -0.3082492E+01   0.1756846E+01  -0.9460895E-01
 0.6000000E+01   0.1835628E+01  -0.3304026E+01   0.1832577E+01  -0.1057949E+00
 0.6200000E+01   0.1918391E+01  -0.3477794E+01   0.1914858E+01  -0.1163729E+00
 0.6400000E+01   0.2008831E+01  -0.3510139E+01   0.2005062E+01  -0.1229910E+00
 0.6600000E+01   0.2114789E+01  -0.3228592E+01   0.2111433E+01  -0.1191044E+00
 0.6800000E+01   0.2256955E+01  -0.2870016E+01   0.2254124E+01  -0.1130064E+00
 0.7000000E+01   0.2440361E+01  -0.2912249E+01   0.2437209E+01  -0.1239861E+00
 0.7200000E+01   0.2653185E+01  -0.4082326E+01   0.2646454E+01  -0.1888796E+00
 0.7400000E+01   0.2847758E+01  -0.5597460E+01   0.2834179E+01  -0.2777669E+00
 0.7600000E+01   0.3051527E+01  -0.6788773E+01   0.3030131E+01  -0.3607191E+00
 0.7800000E+01   0.3286451E+01  -0.7829431E+01   0.3255815E+01  -0.4476951E+00
 0.8000000E+01   0.3563172E+01  -0.8880026E+01   0.3520463E+01  -0.5500325E+00
 0.8200000E+01   0.3892001E+01  -0.1003438E+02   0.3832467E+01  -0.6781387E+00
