  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000046E+01  -0.2481670E-03   0.1000046E+01  -0.4331533E-05
 0.2099800E+00   0.1000046E+01  -0.2481670E-03   0.1000046E+01  -0.4331533E-05
 0.4000000E+00   0.1000171E+01  -0.9205545E-03   0.1000171E+01  -0.1606946E-04
 0.6000000E+00   0.1000385E+01  -0.2091296E-02   0.1000385E+01  -0.3651406E-04
 0.8000000E+00   0.1000690E+01  -0.3799429E-02   0.1000690E+01  -0.6635831E-04
 0.1000000E+01   0.1001093E+01  -0.6141390E-02   0.1001093E+01  -0.1073046E-03
 0.1200000E+01   0.1001605E+01  -0.9302905E-02   0.1001605E+01  -0.1626269E-03
 0.1400000E+01   0.1002248E+01  -0.1366270E-01   0.1002248E+01  -0.2389953E-03
 0.1600000E+01   0.1003062E+01  -0.2006362E-01   0.1003062E+01  -0.3512485E-03
 0.1800000E+01   0.1004127E+01  -0.3064330E-01   0.1004127E+01  -0.5370339E-03
 0.2000000E+01   0.1005630E+01  -0.5206009E-01   0.1005630E+01  -0.9137353E-03
 0.2200000E+01   0.1008057E+01  -0.1139077E+00   0.1008055E+01  -0.2004081E-02
 0.2400000E+01   0.1011099E+01  -0.4115537E+00   0.1011073E+01  -0.7262625E-02
 0.2600000E+01   0.1003760E+01  -0.9611189E+00   0.1003619E+01  -0.1683697E-01
 0.2800000E+01   0.9967324E+00  -0.3545078E+00   0.9967134E+00  -0.6167072E-02
 0.3000000E+01   0.9998201E+00  -0.1423855E+00   0.9998170E+00  -0.2484647E-02
 0.3200000E+01   0.1002218E+01  -0.9399520E-01   0.1002217E+01  -0.1644164E-02
 0.3400000E+01   0.1004062E+01  -0.9117128E-01   0.1004061E+01  -0.1597702E-02
 0.3600000E+01   0.1005540E+01  -0.1364387E+00   0.1005538E+01  -0.2394495E-02
 0.3800000E+01   0.1005380E+01  -0.2154288E+00   0.1005373E+01  -0.3780163E-02
 0.4000000E+01   0.1004189E+01  -0.1492673E+00   0.1004186E+01  -0.2616116E-02
 0.4200000E+01   0.1005057E+01  -0.7997154E-01   0.1005056E+01  -0.1402825E-02
 0.4400000E+01   0.1005971E+01  -0.5278646E-01   0.1005971E+01  -0.9267989E-03
 0.4600000E+01   0.1006644E+01  -0.3807616E-01   0.1006644E+01  -0.6689699E-03
 0.4800000E+01   0.1007107E+01  -0.2629012E-01   0.1007107E+01  -0.4621102E-03
 0.5000000E+01   0.1007378E+01  -0.1463412E-01   0.1007378E+01  -0.2572980E-03
 0.5200000E+01   0.1007462E+01  -0.2251344E-02   0.1007462E+01  -0.3958658E-04
 0.5400000E+01   0.1007357E+01   0.1067747E-01   0.1007357E+01   0.1877279E-03
 0.5600000E+01   0.1007063E+01   0.2269049E-01   0.1007063E+01   0.3988209E-03
 0.5800000E+01   0.1006595E+01   0.2981316E-01   0.1006594E+01   0.5237692E-03
 0.6000000E+01   0.1005980E+01   0.2224172E-01   0.1005980E+01   0.3905128E-03
 0.6200000E+01   0.1005223E+01  -0.2446179E-01   0.1005223E+01  -0.4291686E-03
 0.6400000E+01   0.1003930E+01  -0.1694173E+00   0.1003926E+01  -0.2968507E-02
 0.6600000E+01   0.9995853E+00  -0.4877607E+00   0.9995490E+00  -0.8509397E-02
 0.6800000E+01   0.9883155E+00  -0.7949189E+00   0.9882204E+00  -0.1371140E-01
 0.7000000E+01   0.9704895E+00  -0.8240884E+00   0.9703891E+00  -0.1395812E-01
 0.7200000E+01   0.9524966E+00  -0.2042298E+00   0.9524906E+00  -0.3395150E-02
 0.7400000E+01   0.9414610E+00   0.5606069E+00   0.9414159E+00   0.9211519E-02
 0.7600000E+01   0.9313152E+00   0.1192599E+01   0.9311134E+00   0.1938373E-01
 0.7800000E+01   0.9186967E+00   0.1801066E+01   0.9182429E+00   0.2887405E-01
 0.8000000E+01   0.9025659E+00   0.2500661E+01   0.9017064E+00   0.3937977E-01
