  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000061E+01  -0.2743806E-03   0.1000061E+01  -0.4789136E-05
 0.2099800E+00   0.1000061E+01  -0.2743806E-03   0.1000061E+01  -0.4789136E-05
 0.4000000E+00   0.1000223E+01  -0.1015628E-02   0.1000223E+01  -0.1773000E-04
 0.6000000E+00   0.1000500E+01  -0.2293280E-02   0.1000500E+01  -0.4004531E-04
 0.8000000E+00   0.1000891E+01  -0.4118758E-02   0.1000891E+01  -0.7194990E-04
 0.1000000E+01   0.1001397E+01  -0.6530132E-02   0.1001397E+01  -0.1141315E-03
 0.1200000E+01   0.1002024E+01  -0.9588785E-02   0.1002024E+01  -0.1676946E-03
 0.1400000E+01   0.1002780E+01  -0.1340323E-01   0.1002780E+01  -0.2345808E-03
 0.1600000E+01   0.1003676E+01  -0.1819061E-01   0.1003676E+01  -0.3186533E-03
 0.1800000E+01   0.1004739E+01  -0.2446339E-01   0.1004739E+01  -0.4289901E-03
 0.2000000E+01   0.1006022E+01  -0.3375118E-01   0.1006022E+01  -0.5926168E-03
 0.2200000E+01   0.1007676E+01  -0.5279333E-01   0.1007675E+01  -0.9284896E-03
 0.2400000E+01   0.1009822E+01  -0.1356191E+00   0.1009820E+01  -0.2390247E-02
 0.2600000E+01   0.1008929E+01  -0.3468570E+00   0.1008911E+01  -0.6107816E-02
 0.2800000E+01   0.1008028E+01  -0.1397611E+00   0.1008025E+01  -0.2458871E-02
 0.3000000E+01   0.1010498E+01  -0.9061196E-01   0.1010497E+01  -0.1598079E-02
 0.3200000E+01   0.1012853E+01  -0.9065749E-01   0.1012852E+01  -0.1602608E-02
 0.3400000E+01   0.1015276E+01  -0.1088195E+00   0.1015274E+01  -0.1928271E-02
 0.3600000E+01   0.1017884E+01  -0.1669417E+00   0.1017879E+01  -0.2965786E-02
 0.3800000E+01   0.1019147E+01  -0.2965996E+00   0.1019134E+01  -0.5275735E-02
 0.4000000E+01   0.1018693E+01  -0.2282080E+00   0.1018685E+01  -0.4057423E-02
 0.4200000E+01   0.1021452E+01  -0.1673578E+00   0.1021447E+01  -0.2983598E-02
 0.4400000E+01   0.1024415E+01  -0.1599575E+00   0.1024411E+01  -0.2859942E-02
 0.4600000E+01   0.1027362E+01  -0.1680216E+00   0.1027357E+01  -0.3012764E-02
 0.4800000E+01   0.1030382E+01  -0.1818704E+00   0.1030377E+01  -0.3270671E-02
 0.5000000E+01   0.1033534E+01  -0.1992688E+00   0.1033528E+01  -0.3594518E-02
 0.5200000E+01   0.1036858E+01  -0.2198068E+00   0.1036850E+01  -0.3977742E-02
 0.5400000E+01   0.1040390E+01  -0.2438602E+00   0.1040380E+01  -0.4428054E-02
 0.5600000E+01   0.1044172E+01  -0.2725349E+00   0.1044160E+01  -0.4966725E-02
 0.5800000E+01   0.1048262E+01  -0.3081596E+00   0.1048247E+01  -0.5637947E-02
 0.6000000E+01   0.1052743E+01  -0.3557789E+00   0.1052722E+01  -0.6536977E-02
 0.6200000E+01   0.1057724E+01  -0.4275542E+00   0.1057694E+01  -0.7892903E-02
 0.6400000E+01   0.1063222E+01  -0.5558499E+00   0.1063172E+01  -0.1031459E-01
 0.6600000E+01   0.1068081E+01  -0.8020806E+00   0.1067976E+01  -0.1495152E-01
 0.6800000E+01   0.1069656E+01  -0.1075516E+01   0.1069467E+01  -0.2007765E-01
 0.7000000E+01   0.1067760E+01  -0.1245736E+01   0.1067508E+01  -0.2321362E-01
 0.7200000E+01   0.1066804E+01  -0.1027651E+01   0.1066632E+01  -0.1913304E-01
 0.7400000E+01   0.1072066E+01  -0.8127782E+00   0.1071958E+01  -0.1520745E-01
 0.7600000E+01   0.1079008E+01  -0.7369624E+00   0.1078919E+01  -0.1387827E-01
 0.7800000E+01   0.1086163E+01  -0.7337905E+00   0.1086074E+01  -0.1391017E-01
 0.8000000E+01   0.1093470E+01  -0.7675491E+00   0.1093372E+01  -0.1464797E-01
 0.8200000E+01   0.1101066E+01  -0.8263398E+00   0.1100952E+01  -0.1587942E-01
 0.8400000E+01   0.1109088E+01  -0.9086986E+00   0.1108948E+01  -0.1758915E-01
 0.8600000E+01   0.1117613E+01  -0.1019437E+01   0.1117436E+01  -0.1988410E-01
 0.8800000E+01   0.1126487E+01  -0.1161872E+01   0.1126255E+01  -0.2284189E-01
 0.9000000E+01   0.1135598E+01  -0.1289928E+01   0.1135310E+01  -0.2556413E-01
 0.9200000E+01   0.1148050E+01  -0.1338104E+01   0.1147737E+01  -0.2680949E-01
 0.9400000E+01   0.1169649E+01  -0.1633564E+01   0.1169174E+01  -0.3334342E-01
 0.9600000E+01   0.1191277E+01  -0.2725631E+01   0.1189929E+01  -0.5664915E-01
 0.9800000E+01   0.1199577E+01  -0.4396798E+01   0.1196046E+01  -0.9196353E-01
 0.1000000E+02   0.1185843E+01  -0.6091106E+01   0.1179148E+01  -0.1258295E+00
 0.1020000E+02   0.1157716E+01  -0.6989160E+01   0.1149113E+01  -0.1408727E+00
 0.1040000E+02   0.1126569E+01  -0.7060549E+01   0.1118026E+01  -0.1384758E+00
 0.1060000E+02   0.1102037E+01  -0.6067272E+01   0.1095864E+01  -0.1164810E+00
 0.1080000E+02   0.1098172E+01  -0.4710001E+01   0.1094464E+01  -0.9017365E-01
 0.1100000E+02   0.1105709E+01  -0.3728442E+01   0.1103369E+01  -0.7190171E-01
 0.1120000E+02   0.1116768E+01  -0.3004803E+01   0.1115233E+01  -0.5854063E-01
 0.1140000E+02   0.1131159E+01  -0.2469330E+01   0.1130109E+01  -0.4873555E-01
 0.1160000E+02   0.1147270E+01  -0.2149140E+01   0.1146463E+01  -0.4302352E-01
 0.1180000E+02   0.1163569E+01  -0.1990844E+01   0.1162866E+01  -0.4042213E-01
 0.1200000E+02   0.1179685E+01  -0.1936596E+01   0.1179011E+01  -0.3986571E-01
 0.1220000E+02   0.1195744E+01  -0.1952417E+01   0.1195050E+01  -0.4073842E-01
 0.1240000E+02   0.1211995E+01  -0.2022338E+01   0.1211240E+01  -0.4277022E-01
 0.1260000E+02   0.1228701E+01  -0.2141889E+01   0.1227843E+01  -0.4592186E-01
 0.1280000E+02   0.1246125E+01  -0.2315423E+01   0.1245107E+01  -0.5034438E-01
 0.1300000E+02   0.1264510E+01  -0.2556531E+01   0.1263251E+01  -0.5640356E-01
 0.1320000E+02   0.1284038E+01  -0.2891311E+01   0.1282403E+01  -0.6476878E-01
 0.1340000E+02   0.1304658E+01  -0.3364501E+01   0.1302409E+01  -0.7656762E-01
 0.1360000E+02   0.1325605E+01  -0.4045209E+01   0.1322303E+01  -0.9351291E-01
 0.1380000E+02   0.1344313E+01  -0.5011302E+01   0.1339174E+01  -0.1174287E+00
 0.1400000E+02   0.1355531E+01  -0.6258221E+01   0.1347453E+01  -0.1477658E+00
 0.1420000E+02   0.1354184E+01  -0.7591680E+01   0.1342315E+01  -0.1789046E+00
 0.1440000E+02   0.1337997E+01  -0.8723854E+01   0.1322517E+01  -0.2029371E+00
 0.1460000E+02   0.1308533E+01  -0.9135214E+01   0.1291936E+01  -0.2077492E+00
 0.1480000E+02   0.1283159E+01  -0.8409743E+01   0.1269362E+01  -0.1876636E+00
 0.1500000E+02   0.1278420E+01  -0.7105421E+01   0.1268602E+01  -0.1581347E+00
 0.1520000E+02   0.1291370E+01  -0.5954631E+01   0.1284402E+01  -0.1339679E+00
 0.1540000E+02   0.1313123E+01  -0.5169499E+01   0.1307782E+01  -0.1183156E+00
 0.1560000E+02   0.1338357E+01  -0.4689298E+01   0.1333877E+01  -0.1094138E+00
 0.1580000E+02   0.1364951E+01  -0.4420738E+01   0.1360890E+01  -0.1052103E+00
 0.1600000E+02   0.1392185E+01  -0.4298574E+01   0.1388269E+01  -0.1043497E+00
 0.1620000E+02   0.1419796E+01  -0.4279845E+01   0.1415837E+01  -0.1059565E+00
 0.1640000E+02   0.1447729E+01  -0.4332262E+01   0.1443592E+01  -0.1093617E+00
 0.1660000E+02   0.1476165E+01  -0.4428778E+01   0.1471757E+01  -0.1139892E+00
 0.1680000E+02   0.1505591E+01  -0.4554890E+01   0.1500836E+01  -0.1195652E+00
 0.1700000E+02   0.1536423E+01  -0.4712330E+01   0.1531230E+01  -0.1262217E+00
 0.1720000E+02   0.1568843E+01  -0.4905069E+01   0.1563098E+01  -0.1341441E+00
 0.1740000E+02   0.1602987E+01  -0.5133861E+01   0.1596557E+01  -0.1434400E+00
 0.1760000E+02   0.1639044E+01  -0.5398921E+01   0.1631772E+01  -0.1542169E+00
 0.1780000E+02   0.1677250E+01  -0.5701867E+01   0.1668951E+01  -0.1666384E+00
 0.1800000E+02   0.1717874E+01  -0.6046318E+01   0.1708317E+01  -0.1809478E+00
 0.1820000E+02   0.1761197E+01  -0.6438197E+01   0.1750090E+01  -0.1974855E+00
 0.1840000E+02   0.1807486E+01  -0.6886056E+01   0.1794448E+01  -0.2167089E+00
 0.1860000E+02   0.1856933E+01  -0.7401149E+01   0.1841462E+01  -0.2392017E+00
 0.1880000E+02   0.1909554E+01  -0.7996143E+01   0.1890988E+01  -0.2656312E+00
