  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1005119E+01  -0.2362592E-01   0.1005119E+01  -0.4144610E-03
 0.2099800E+00   0.1005119E+01  -0.2362592E-01   0.1005119E+01  -0.4144610E-03
 0.4000000E+00   0.1019026E+01  -0.8767881E-01   0.1019025E+01  -0.1559399E-02
 0.6000000E+00   0.1043400E+01  -0.1993644E+00   0.1043394E+01  -0.3630571E-02
 0.8000000E+00   0.1079239E+01  -0.3623279E+00   0.1079218E+01  -0.6824865E-02
 0.1000000E+01   0.1128522E+01  -0.5841705E+00   0.1128464E+01  -0.1150588E-01
 0.1200000E+01   0.1194243E+01  -0.8763988E+00   0.1194104E+01  -0.1826649E-01
 0.1400000E+01   0.1280913E+01  -0.1256362E+01   0.1280605E+01  -0.2808516E-01
 0.1600000E+01   0.1395444E+01  -0.1750681E+01   0.1394793E+01  -0.4263137E-01
 0.1800000E+01   0.1548792E+01  -0.2401632E+01   0.1547432E+01  -0.6490077E-01
 0.2000000E+01   0.1759193E+01  -0.3279836E+01   0.1756311E+01  -0.1006481E+00
 0.2200000E+01   0.2059147E+01  -0.4511844E+01   0.2052766E+01  -0.1619831E+00
 0.2400000E+01   0.2512271E+01  -0.6347733E+01   0.2496869E+01  -0.2777626E+00
 0.2600000E+01   0.3260775E+01  -0.9356446E+01   0.3217394E+01  -0.5301237E+00
 0.2800000E+01   0.4691093E+01  -0.1514607E+02   0.4528138E+01  -0.1225692E+01
 0.3000000E+01   0.8172990E+01  -0.3023047E+02   0.7061522E+01  -0.4114933E+01
 0.3200000E+01   0.1459062E+02  -0.8750101E+02   0.6361774E+00  -0.1457674E+02
 0.3400000E+01   0.8105919E+01  -0.1407929E+03  -0.6281002E+01  -0.5123956E+01
 0.3600000E+01   0.4732785E+01  -0.1586683E+03  -0.4408542E+01  -0.1721629E+01
 0.3800000E+01   0.3208984E+01  -0.1652626E+03  -0.3103415E+01  -0.8163296E+00
 0.4000000E+01   0.2423847E+01  -0.1685417E+03  -0.2375539E+01  -0.4815075E+00
 0.4200000E+01   0.1952307E+01  -0.1705533E+03  -0.1925831E+01  -0.3204338E+00
 0.4400000E+01   0.1640603E+01  -0.1719467E+03  -0.1624424E+01  -0.2298384E+00
 0.4600000E+01   0.1421135E+01  -0.1729955E+03  -0.1410529E+01  -0.1733044E+00
 0.4800000E+01   0.1259725E+01  -0.1738355E+03  -0.1252441E+01  -0.1352735E+00
 0.5000000E+01   0.1137292E+01  -0.1745426E+03  -0.1132137E+01  -0.1081621E+00
 0.5200000E+01   0.1042384E+01  -0.1751629E+03  -0.1038672E+01  -0.8789616E-01
 0.5400000E+01   0.9677380E+00  -0.1757265E+03  -0.9650473E+00  -0.7211419E-01
 0.5600000E+01   0.9085519E+00  -0.1762541E+03  -0.9066108E+00  -0.5935796E-01
 0.5800000E+01   0.8615514E+00  -0.1767612E+03  -0.8601753E+00  -0.4867502E-01
 0.6000000E+01   0.8244567E+00  -0.1772603E+03  -0.8235144E+00  -0.3940827E-01
 0.6200000E+01   0.7956659E+00  -0.1777616E+03  -0.7950588E+00  -0.3107704E-01
 0.6400000E+01   0.7740600E+00  -0.1782747E+03  -0.7737091E+00  -0.2330511E-01
 0.6600000E+01   0.7588824E+00  -0.1788090E+03  -0.7587184E+00  -0.1577336E-01
 0.6800000E+01   0.7496659E+00  -0.1793744E+03  -0.7496212E+00  -0.8184794E-02
 0.7000000E+01   0.7461922E+00  -0.1799820E+03  -0.7461922E+00  -0.2344609E-03
 0.7200000E+01   0.7484771E+00   0.1793553E+03  -0.7484297E+00   0.8421831E-02
 0.7400000E+01   0.7567793E+00   0.1786215E+03  -0.7565603E+00   0.1820585E-01
 0.7600000E+01   0.7716350E+00   0.1777963E+03  -0.7710643E+00   0.2967059E-01
 0.7800000E+01   0.7939250E+00   0.1768532E+03  -0.7927279E+00   0.4358217E-01
 0.8000000E+01   0.8249903E+00   0.1757560E+03  -0.8227281E+00   0.6105312E-01
 0.8200000E+01   0.8668207E+00   0.1744542E+03  -0.8627634E+00   0.8377054E-01
 0.8400000E+01   0.9223679E+00   0.1728750E+03  -0.9152452E+00   0.1144060E+00
 0.8600000E+01   0.9960663E+00   0.1709086E+03  -0.9835531E+00   0.1573887E+00
 0.8800000E+01   0.1094721E+01   0.1683832E+03  -0.1072297E+01   0.2204396E+00
 0.9000000E+01   0.1229021E+01   0.1650154E+03  -0.1187229E+01   0.3177746E+00
 0.9200000E+01   0.1415957E+01   0.1603122E+03  -0.1333183E+01   0.4770289E+00
 0.9400000E+01   0.1681462E+01   0.1533671E+03  -0.1503054E+01   0.7537530E+00
 0.9600000E+01   0.2054685E+01   0.1424773E+03  -0.1629596E+01   0.1251458E+01
 0.9800000E+01   0.2504890E+01   0.1248691E+03  -0.1432053E+01   0.2055163E+01
 0.1000000E+02   0.2741737E+01   0.9927791E+02  -0.4420321E+00   0.2705869E+01
 0.1020000E+02   0.2431814E+01   0.7279425E+02   0.7193401E+00   0.2322987E+01
 0.1040000E+02   0.1892262E+01   0.5351598E+02   0.1125136E+01   0.1521422E+01
 0.1060000E+02   0.1443880E+01   0.4133046E+02   0.1084228E+01   0.9535397E+00
 0.1080000E+02   0.1127674E+01   0.3362407E+02   0.9390010E+00   0.6244395E+00
 0.1100000E+02   0.9072972E+00   0.2849139E+02   0.7974133E+00   0.4328050E+00
 0.1120000E+02   0.7493661E+00   0.2487531E+02   0.6798439E+00   0.3152170E+00
 0.1140000E+02   0.6323348E+00   0.2220344E+02   0.5854458E+00   0.2389570E+00
