  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000336E+01  -0.1546764E-02   0.1000336E+01  -0.2700521E-04
 0.2099800E+00   0.1000336E+01  -0.1546764E-02   0.1000336E+01  -0.2700521E-04
 0.4000000E+00   0.1001236E+01  -0.5685471E-02   0.1001236E+01  -0.9935284E-04
 0.6000000E+00   0.1002766E+01  -0.1272593E-01   0.1002766E+01  -0.2227238E-03
 0.8000000E+00   0.1004914E+01  -0.2260801E-01   0.1004913E+01  -0.3965229E-03
 0.1000000E+01   0.1007684E+01  -0.3535322E-01   0.1007684E+01  -0.6217716E-03
 0.1200000E+01   0.1011086E+01  -0.5098793E-01   0.1011085E+01  -0.8997725E-03
 0.1400000E+01   0.1015127E+01  -0.6954347E-01   0.1015126E+01  -0.1232123E-02
 0.1600000E+01   0.1019819E+01  -0.9105639E-01   0.1019818E+01  -0.1620730E-02
 0.1800000E+01   0.1025174E+01  -0.1155687E+00   0.1025172E+01  -0.2067830E-02
 0.2000000E+01   0.1031208E+01  -0.1431281E+00   0.1031204E+01  -0.2576012E-02
 0.2200000E+01   0.1037936E+01  -0.1737884E+00   0.1037931E+01  -0.3148241E-02
 0.2400000E+01   0.1045378E+01  -0.2076101E+00   0.1045371E+01  -0.3787896E-02
 0.2600000E+01   0.1053555E+01  -0.2446603E+00   0.1053545E+01  -0.4498800E-02
 0.2800000E+01   0.1062491E+01  -0.2850139E+00   0.1062477E+01  -0.5285263E-02
 0.3000000E+01   0.1072211E+01  -0.3287536E+00   0.1072194E+01  -0.6152135E-02
 0.3200000E+01   0.1082746E+01  -0.3759711E+00   0.1082723E+01  -0.7104858E-02
 0.3400000E+01   0.1094128E+01  -0.4267673E+00   0.1094098E+01  -0.8149531E-02
 0.3600000E+01   0.1106391E+01  -0.4812539E+00   0.1106352E+01  -0.9292985E-02
 0.3800000E+01   0.1119576E+01  -0.5395534E+00   0.1119526E+01  -0.1054287E-01
 0.4000000E+01   0.1133725E+01  -0.6018013E+00   0.1133662E+01  -0.1190776E-01
 0.4200000E+01   0.1148885E+01  -0.6681463E+00   0.1148807E+01  -0.1339725E-01
 0.4400000E+01   0.1165109E+01  -0.7387528E+00   0.1165012E+01  -0.1502211E-01
 0.4600000E+01   0.1182453E+01  -0.8138015E+00   0.1182334E+01  -0.1679443E-01
 0.4800000E+01   0.1200982E+01  -0.8934920E+00   0.1200836E+01  -0.1872781E-01
 0.5000000E+01   0.1220764E+01  -0.9780446E+00   0.1220586E+01  -0.2083755E-01
 0.5200000E+01   0.1241876E+01  -0.1067703E+01   0.1241661E+01  -0.2314094E-01
 0.5400000E+01   0.1264403E+01  -0.1162736E+01   0.1264143E+01  -0.2565750E-01
 0.5600000E+01   0.1288438E+01  -0.1263443E+01   0.1288125E+01  -0.2840936E-01
 0.5800000E+01   0.1314084E+01  -0.1370156E+01   0.1313708E+01  -0.3142166E-01
