  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1005110E+01  -0.2662674E-01   0.1005110E+01  -0.4670991E-03
 0.2099800E+00   0.1005110E+01  -0.2662674E-01   0.1005110E+01  -0.4670991E-03
 0.4000000E+00   0.1018992E+01  -0.9881231E-01   0.1018990E+01  -0.1757352E-02
 0.6000000E+00   0.1043319E+01  -0.2246703E+00   0.1043311E+01  -0.4091090E-02
 0.8000000E+00   0.1079085E+01  -0.4082957E+00   0.1079058E+01  -0.7689610E-02
 0.1000000E+01   0.1128258E+01  -0.6582320E+00   0.1128184E+01  -0.1296150E-01
 0.1200000E+01   0.1193814E+01  -0.9874073E+00   0.1193637E+01  -0.2057259E-01
 0.1400000E+01   0.1280234E+01  -0.1415301E+01   0.1279843E+01  -0.3162070E-01
 0.1600000E+01   0.1394374E+01  -0.1971780E+01   0.1393549E+01  -0.4797660E-01
 0.1800000E+01   0.1547082E+01  -0.2704212E+01   0.1545359E+01  -0.7299112E-01
 0.2000000E+01   0.1756365E+01  -0.3691579E+01   0.1752721E+01  -0.1130847E+00
 0.2200000E+01   0.2054188E+01  -0.5075033E+01   0.2046135E+01  -0.1817140E+00
 0.2400000E+01   0.2502705E+01  -0.7132239E+01   0.2483340E+01  -0.3107354E+00
 0.2600000E+01   0.3239153E+01  -0.1048974E+02   0.3185018E+01  -0.5897183E+00
 0.2800000E+01   0.4626427E+01  -0.1688706E+02   0.4426931E+01  -0.1343913E+01
 0.3000000E+01   0.7845341E+01  -0.3300462E+02   0.6579311E+01  -0.4273410E+01
 0.3200000E+01   0.1297079E+02  -0.8668805E+02   0.7493522E+00  -0.1294913E+02
 0.3400000E+01   0.7814438E+01  -0.1376501E+03  -0.5775219E+01  -0.5264245E+01
 0.3600000E+01   0.4671206E+01  -0.1561527E+03  -0.4272407E+01  -0.1888571E+01
 0.3800000E+01   0.3192575E+01  -0.1634157E+03  -0.3059767E+01  -0.9112428E+00
 0.4000000E+01   0.2417607E+01  -0.1670845E+03  -0.2356443E+01  -0.5403702E+00
 0.4200000E+01   0.1949383E+01  -0.1693447E+03  -0.1915771E+01  -0.3604409E+00
 0.4400000E+01   0.1639005E+01  -0.1709132E+03  -0.1618436E+01  -0.2588485E+00
 0.4600000E+01   0.1420130E+01  -0.1720947E+03  -0.1406634E+01  -0.1953195E+00
 0.4800000E+01   0.1258997E+01  -0.1730414E+03  -0.1249723E+01  -0.1525299E+00
 0.5000000E+01   0.1136689E+01  -0.1738385E+03  -0.1130123E+01  -0.1220028E+00
 0.5200000E+01   0.1041824E+01  -0.1745377E+03  -0.1037093E+01  -0.9917282E-01
 0.5400000E+01   0.9671736E+00  -0.1751727E+03  -0.9637429E+00  -0.8138944E-01
 0.5600000E+01   0.9079508E+00  -0.1757672E+03  -0.9054743E+00  -0.6701427E-01
 0.5800000E+01   0.8608893E+00  -0.1763386E+03  -0.8591321E+00  -0.5497644E-01
 0.6000000E+01   0.8237122E+00  -0.1769006E+03  -0.8225073E+00  -0.4453703E-01
 0.6200000E+01   0.7948174E+00  -0.1774649E+03  -0.7940395E+00  -0.3515564E-01
 0.6400000E+01   0.7730831E+00  -0.1780423E+03  -0.7726319E+00  -0.2640974E-01
 0.6600000E+01   0.7577484E+00  -0.1786433E+03  -0.7575360E+00  -0.1794161E-01
 0.6800000E+01   0.7483387E+00  -0.1792788E+03  -0.7482794E+00  -0.9419317E-02
 0.7000000E+01   0.7446249E+00  -0.1799613E+03  -0.7446247E+00  -0.5033191E-03
 0.7200000E+01   0.7466074E+00   0.1792949E+03  -0.7465508E+00   0.9187852E-02
 0.7400000E+01   0.7545224E+00   0.1784720E+03  -0.7542541E+00   0.2011931E-01
 0.7600000E+01   0.7688725E+00   0.1775478E+03  -0.7681684E+00   0.3289753E-01
 0.7800000E+01   0.7904876E+00   0.1764928E+03  -0.7890071E+00   0.4835759E-01
 0.8000000E+01   0.8206276E+00   0.1752676E+03  -0.8178300E+00   0.6770348E-01
