Time in UTC+01:00;X in mm/s;Y in mm/s;Z in mm/s
10.12.2023 23:59:54.79300;-0,002652718;0,000501866;0,009224769
10.12.2023 23:59:54.79400;-0,003847637;0,000884239;0,004158315
10.12.2023 23:59:54.79500;-0,001194918;0,000836443;0,002987295
10.12.2023 23:59:54.79600;0,003035092;-0,001362207;0,008460021
10.12.2023 23:59:54.79700;0,003991026;-0,0014578;0,008388326
10.12.2023 23:59:54.79800;0,002891702;0,000477967;0,003011194
10.12.2023 23:59:54.79900;0,003178482;0,001003731;0,006834932
10.12.2023 23:59:54.80000;0,0029156;0,002103056;0,014410713
10.12.2023 23:59:54.80100;-0,001505597;0,004038823;0,011590706
10.12.2023 23:59:54.80200;-0,006619846;0,004755774;0,005162046
10.12.2023 23:59:54.80300;-0,007050017;0,003728145;0,005926794
10.12.2023 23:59:54.80400;-0,002843905;0,003369669;0,010658669
10.12.2023 23:59:54.80500;0,002103056;0,004923062;0,011423417
10.12.2023 23:59:54.80600;0,005353233;0,004445096;0,007647476
10.12.2023 23:59:54.80700;0,004349502;0,002652718;0,002365938
10.12.2023 23:59:54.80800;0,000310679;0,001003731;0,001003731
10.12.2023 23:59:54.80900;-0,000382374;-0,000334577;0,006094082
10.12.2023 23:59:54.81000;9,5593451987952E-05;0,002389836;0,00700222
10.12.2023 23:59:54.81100;-0,003274076;0,007169508;0,002581023
10.12.2023 23:59:54.81200;-0,006213574;0,008699004;0,005711709
10.12.2023 23:59:54.81300;-0,004301705;0,00831663;0,012642234
10.12.2023 23:59:54.81400;-0,000430171;0,009081378;0,010682568
10.12.2023 23:59:54.81500;0,002939499;0,007958155;0,0043734
10.12.2023 23:59:54.81600;0,005520522;0,002079158;0,003513059
10.12.2023 23:59:54.81700;0,004564587;-0,003465262;0,002652718
10.12.2023 23:59:54.81800;0,002007462;-0,003369669;-0,004325604
10.12.2023 23:59:54.81900;0,002748312;0,000860341;-0,008483918
10.12.2023 23:59:54.82000;0,003871535;0,005998489;-0,00451679
10.12.2023 23:59:54.82100;0,001123223;0,00917697;-0,002509328
