Time in UTC+01:00;X in mm/s;Y in mm/s;Z in mm/s
10.12.2023 23:59:54.73900;-0,001983564;0,003656449;0,001983564
10.12.2023 23:59:54.74000;-0,001864072;0,00394323;0,001959666
10.12.2023 23:59:54.74100;-0,001911869;0,003823738;0,002557125
10.12.2023 23:59:54.74200;-0,002103056;0,003656449;0,002557125
10.12.2023 23:59:54.74300;-0,002365938;0,003871535;0,002437633
10.12.2023 23:59:54.74400;-0,001983564;0,004253909;0,002294243
10.12.2023 23:59:54.74500;-0,00131441;0,00451679;0,002055259
10.12.2023 23:59:54.74600;-0,001410003;0,004301705;0,002055259
10.12.2023 23:59:54.74700;-0,001481698;0,004014925;0,001792377
10.12.2023 23:59:54.74800;-0,001362207;0,003608653;0,001410003
10.12.2023 23:59:54.74900;-0,001410003;0,003321872;0,001123223
10.12.2023 23:59:54.75000;-0,000932036;0,003513059;0,000716951
10.12.2023 23:59:54.75100;-0,000884239;0,00379984;0,00028678
10.12.2023 23:59:54.75200;-0,000812544;0,003775941;-0,000406272
10.12.2023 23:59:54.75300;-0,000119492;0,003393568;-0,000836443
10.12.2023 23:59:54.75400;-0,000167289;0,003130685;-0,000764748
10.12.2023 23:59:54.75500;-9,56E-05;0,002867803;-0,001362207
10.12.2023 23:59:54.75600;-9,56E-05;0,002796108;-0,002270344
10.12.2023 23:59:54.75700;-0,000955935;0,002796108;-0,002318141
10.12.2023 23:59:54.75800;-0,001075426;0,002437633;-0,00277221
10.12.2023 23:59:54.75900;-0,000477967;0,002365938;-0,003536958
10.12.2023 23:59:54.76000;7,16950817150064E-05;0,002222548;-0,003465262
10.12.2023 23:59:54.76100;0,000621357;0,002103056;-0,003775941
10.12.2023 23:59:54.76200;0,000764748;0,001935767;-0,00451679
10.12.2023 23:59:54.76300;0,000382374;0,001816276;-0,004755774
10.12.2023 23:59:54.76400;-7,17E-05;0,002079158;-0,004755774
10.12.2023 23:59:54.76500;-0,000358475;0,001577292;-0,004899164
10.12.2023 23:59:54.76600;-0,000310679;0,001099325;-0,005066453
10.12.2023 23:59:54.76700;0,000334577;0,000573561;-0,005592217
10.12.2023 23:59:54.76800;0,000884239;-7,17E-05;-0,006070184
10.12.2023 23:59:54.76900;0,000693053;0,000334577;-0,006046286
10.12.2023 23:59:54.77000;0,000884239;0,000669154;-0,005807302
10.12.2023 23:59:54.77100;0,001266613;0,000669154;-0,005496623
10.12.2023 23:59:54.77200;0,000693053;0,000334577;-0,005520522
10.12.2023 23:59:54.77300;0,000430171;-9,56E-05;-0,005735607
10.12.2023 23:59:54.77400;0,00102763;-0,000621357;-0,005950693
10.12.2023 23:59:54.77500;0,001386105;-0,001362207;-0,00554442
10.12.2023 23:59:54.77600;0,001123223;-0,001147121;-0,00511425
10.12.2023 23:59:54.77700;0,000932036;-0,000836443;-0,004588485
10.12.2023 23:59:54.77800;0,000884239;-0,000549662;-0,003728145
10.12.2023 23:59:54.77900;0,000406272;-0,000477967;-0,003919331
10.12.2023 23:59:54.78000;0,000238984;-0,001266613;-0,003465262
10.12.2023 23:59:54.78100;0,000621357;-0,001864072;-0,002820007
10.12.2023 23:59:54.78200;0,00102763;-0,002294243;-0,003226279
10.12.2023 23:59:54.78300;0,000884239;-0,002365938;-0,002270344
10.12.2023 23:59:54.78400;0,000310679;-0,001768479;-0,001768479
10.12.2023 23:59:54.78500;2,3898362996988E-05;-0,001242715;-0,001625089
10.12.2023 23:59:54.78600;0,000310679;-0,001099325;-0,000788646
10.12.2023 23:59:54.78700;0,000430171;-0,001266613;-0,001123223
10.12.2023 23:59:54.78800;0,000430171;-0,002079158;-0,000693053
10.12.2023 23:59:54.78900;0,000597459;-0,0029156;-0,000119492
10.12.2023 23:59:54.79000;0,000238984;-0,002963397;-0,000191187
10.12.2023 23:59:54.79100;-7,17E-05;-0,00262882;0,000693053
