Time in UTC+01:00;X in mm/s;Y in mm/s;Z in mm/s
29.11.2023 12:38:36.06200;0,001864072;0,001386105;-0,001672885
29.11.2023 12:38:36.06300;0,001720682;0,000406272;-0,001481698
29.11.2023 12:38:36.06400;0,001218816;0,000262882;-0,001648987
29.11.2023 12:38:36.06500;0,000406272;0,000501866;-0,002581023
29.11.2023 12:38:36.06600;-0,000167289;0,000454069;-0,001433902
29.11.2023 12:38:36.06700;0,000525764;0,000669154;-0,001338308
29.11.2023 12:38:36.06800;0,001410003;0,000454069;-0,002389836
29.11.2023 12:38:36.06900;0,001672885;-0,000215085;-0,001529495
29.11.2023 12:38:36.07000;0,00174458;-0,000549662;-0,001840174
29.11.2023 12:38:36.07100;0,001433902;-0,000454069;-0,002294243
29.11.2023 12:38:36.07200;0,000932036;-0,000501866;-0,001242715
29.11.2023 12:38:36.07300;0,000310679;-0,000549662;-0,001386105
29.11.2023 12:38:36.07400;0,00014339;-0,000669154;-0,001099325
29.11.2023 12:38:36.07500;0,000836443;-0,001242715;-0,000477967
29.11.2023 12:38:36.07600;0,001266613;-0,000932036;-0,000955935
29.11.2023 12:38:36.07700;0,001338308;-0,000812544;-0,000215085
29.11.2023 12:38:36.07800;0,001123223;-0,000358475;0,000119492
29.11.2023 12:38:36.07900;0,000191187;0,000621357;-0,000406272
29.11.2023 12:38:36.08000;-0,000430171;-0,000788646;0,001194918
29.11.2023 12:38:36.08100;-0,000525764;-0,001051528;0,001911869
29.11.2023 12:38:36.08200;-0,00014339;-2,39E-05;0,000955935
29.11.2023 12:38:36.08300;0,000310679;-0,000693053;0,001720682
29.11.2023 12:38:36.08400;0,000525764;-0,000621357;0,001887971
29.11.2023 12:38:36.08500;0,000884239;-0,000238984;0,00117102
29.11.2023 12:38:36.08600;0,000310679;0,000119492;0,002413735
29.11.2023 12:38:36.08700;-0,000238984;0,000740849;0,002342039
29.11.2023 12:38:36.08800;-7,17E-05;0,000525764;0,001792377
29.11.2023 12:38:36.08900;-0,000238984;0,000238984;0,002724413
29.11.2023 12:38:36.09000;2,39E-05;9,56E-05;0,0014578
29.11.2023 12:38:36.09100;0,000430171;-0,00014339;0,001290512
29.11.2023 12:38:36.09200;0,000549662;-2,39E-05;0,001720682
29.11.2023 12:38:36.09300;0,000477967;0,000454069;0,000215085
29.11.2023 12:38:36.09400;-0,000215085;0,000430171;0,001194918
29.11.2023 12:38:36.09500;-0,000740849;0,000310679;0,001386105
29.11.2023 12:38:36.09600;-0,000501866;0,000430171;-0,000262882
29.11.2023 12:38:36.09700;-0,000238984;-4,78E-05;0,000238984
29.11.2023 12:38:36.09800;2,39E-05;-0,000573561;-0,000334577
29.11.2023 12:38:36.09900;0,000406272;-0,00014339;-0,001410003
29.11.2023 12:38:36.10000;0,000501866;0,000167289;-0,000740849
29.11.2023 12:38:36.10100;0,000454069;2,39E-05;-0,001338308
29.11.2023 12:38:36.10200;0,000262882;0;-0,001768479
29.11.2023 12:38:36.10300;0,000430171;-0,000597459;-0,000908138
29.11.2023 12:38:36.10400;0,000621357;-0,001433902;-0,002007462
29.11.2023 12:38:36.10500;0,000716951;-0,002007462;-0,002342039
