Time in UTC+02:00	X in mm/s	Y in mm/s	Z in mm/s
01.08.2023 08:44:16.61200	4,77967E-05	-0,002365938	0,000932036
01.08.2023 08:44:16.61300	0,001553394	-0,000764748	0,002318141
01.08.2023 08:44:16.61400	0,003106787	0,002294243	-0,001242715
01.08.2023 08:44:16.61500	0,001362207	0,004110518	9,55935E-05
01.08.2023 08:44:16.61600	-0,000955935	0,003847637	0,00102763
01.08.2023 08:44:16.61700	-0,000764748	0,001864072	-0,003106787
01.08.2023 08:44:16.61800	-0,00160119	-0,000525764	-0,001075426
01.08.2023 08:44:16.61900	-0,001696784	-0,001911869	0,000262882
01.08.2023 08:44:16.62000	-0,002939499	-0,001242715	-0,002294243
01.08.2023 08:44:16.62100	-0,004612384	0,000334577	0,001075426
01.08.2023 08:44:16.62200	-0,002557125	0,002604922	0,000430171
01.08.2023 08:44:16.62300	0	0,003871535	-0,000908138
01.08.2023 08:44:16.62400	0,003584754	0,002413735	0,000860341
01.08.2023 08:44:16.62500	0,005520522	-0,000358475	-0,002294243
01.08.2023 08:44:16.62600	0,002652718	-0,003752043	-0,001386105
01.08.2023 08:44:16.62700	-0,000573561	-0,004492892	-0,002079158
01.08.2023 08:44:16.62800	-0,003417466	-0,001840174	-0,003728145
01.08.2023 08:44:16.62900	-0,004301705	0,001386105	0,00117102
01.08.2023 08:44:16.63000	-0,002342039	0,004134417	-0,002581023
01.08.2023 08:44:16.63100	-0,000238984	0,003632551	-0,003369669
01.08.2023 08:44:16.63200	0,001362207	0,000716951	-0,001218816
01.08.2023 08:44:16.63300	0,002246446	-0,001362207	-0,007838663
01.08.2023 08:44:16.63400	0,001792377	-0,003011194	-0,003680348
01.08.2023 08:44:16.63500	-0,000191187	-0,002939499	-0,002079158
01.08.2023 08:44:16.63600	-0,002604922	-0,001672885	-0,006165777
01.08.2023 08:44:16.63700	-0,004110518	-0,000955935	-0,000358475
01.08.2023 08:44:16.63800	-0,002031361	0,001720682	-0,003680348
01.08.2023 08:44:16.63900	0,001625089	0,003632551	-0,004612384
01.08.2023 08:44:16.64000	0,003274076	0,002389836	0,00131441
01.08.2023 08:44:16.64100	0,003154584	0	-0,002867803
01.08.2023 08:44:16.64200	9,55935E-05	-0,00305899	0,000860341
01.08.2023 08:44:16.64300	-0,002509328	-0,003823738	0,001625089
01.08.2023 08:44:16.64400	-0,00160119	-0,002413735	-0,004014925
01.08.2023 08:44:16.64500	2,38984E-05	-0,001147121	0,003250177
01.08.2023 08:44:16.64600	0,002342039	0,001051528	0,000932036
01.08.2023 08:44:16.64700	0,003489161	0,002031361	-0,002389836
