Time in UTC+01:00;X in mm/s;Y in mm/s;Z in mm/s
29.11.2023 12:38:36.06200;0,004660181;-0,00174458;-0,006548151
29.11.2023 12:38:36.06300;0,003847637;-0,001099325;-0,006094082
29.11.2023 12:38:36.06400;0,001983564;0,002079158;-0,004923062
29.11.2023 12:38:36.06500;-0,000764748;0,00451679;-0,002867803
29.11.2023 12:38:36.06600;-0,001768479;0,003393568;-0,000884239
29.11.2023 12:38:36.06700;-0,001003731;0,003274076;0,000382374
29.11.2023 12:38:36.06800;-0,000167289;0,002700515;0,001792377
29.11.2023 12:38:36.06900;0,000621357;0,001147121;0,002963397
29.11.2023 12:38:36.07000;0,000740849;0,000406272;0,00305899
29.11.2023 12:38:36.07100;0,000573561;-2,39E-05;0,002867803
29.11.2023 12:38:36.07200;0,000358475;0,000788646;0,003130685
29.11.2023 12:38:36.07300;-0,000310679;0,001433902;0,003082889
29.11.2023 12:38:36.07400;-0,001123223;0,002126954;0,00262882
29.11.2023 12:38:36.07500;-0,001672885;0,002604922;0,003202381
29.11.2023 12:38:36.07600;-0,001648987;0,002198649;0,004731876
29.11.2023 12:38:36.07700;-0,001218816;0,002557125;0,0058312
29.11.2023 12:38:36.07800;-0,000334577;0,002079158;0,00714561
29.11.2023 12:38:36.07900;0,000597459;0,001147121;0,009941719
29.11.2023 12:38:36.08000;0,000860341;0,001194918;0,013263592
29.11.2023 12:38:36.08100;0;0,001338308;0,015796818
29.11.2023 12:38:36.08200;-0,001648987;0,001840174;0,017230719
29.11.2023 12:38:36.08300;-0,002796108;0,002079158;0,017374109
29.11.2023 12:38:36.08400;-0,003489161;0,001768479;0,016872244
29.11.2023 12:38:36.08500;-0,003417466;0,001194918;0,015796818
29.11.2023 12:38:36.08600;-0,001911869;0,000716951;0,013120201
29.11.2023 12:38:36.08700;-0,000812544;-2,39E-05;0,011017145
29.11.2023 12:38:36.08800;-0,000645256;-0,001147121;0,011734096
29.11.2023 12:38:36.08900;-0,000812544;-0,000932036;0,012905116
29.11.2023 12:38:36.09000;-0,001625089;-0,00014339;0,013622067
29.11.2023 12:38:36.09100;-0,002557125;-0,000191187;0,015557835
29.11.2023 12:38:36.09200;-0,002987295;-0,000334577;0,017636992
29.11.2023 12:38:36.09300;-0,003441364;-0,000454069;0,018306145
29.11.2023 12:38:36.09400;-0,003393568;-0,000693053;0,017589195
29.11.2023 12:38:36.09500;-0,002198649;-0,00117102;0,01591631
29.11.2023 12:38:36.09600;-0,000812544;-0,001051528;0,01429122
29.11.2023 12:38:36.09700;2,39E-05;-0,000597459;0,013167998
29.11.2023 12:38:36.09800;0,00014339;-0,000716951;0,012044775
29.11.2023 12:38:36.09900;-0,000764748;-0,000430171;0,011423417
29.11.2023 12:38:36.10000;-0,002294243;-7,17E-05;0,012522741
29.11.2023 12:38:36.10100;-0,003513059;-0,00014339;0,013741558
29.11.2023 12:38:36.10200;-0,003895433;0;0,012666131
29.11.2023 12:38:36.10300;-0,003297974;0;0,01008511
29.11.2023 12:38:36.10400;-0,001720682;-0,000693053;0,008483918
29.11.2023 12:38:36.10500;0,000501866;-0,001051528;0,007193407
29.11.2023 12:38:36.10600;0,001720682;-0,000693053;0,003919331
29.11.2023 12:38:36.10700;0,001266613;-0,000358475;0,000645256
29.11.2023 12:38:36.10800;0,000454069;-0,000262882;-0,000597459
29.11.2023 12:38:36.10900;-0,000597459;0,00014339;-0,001433902
29.11.2023 12:38:36.11000;-0,001218816;0,000764748;-0,00262882
29.11.2023 12:38:36.11100;-0,000406272;0,001075426;-0,003728145
29.11.2023 12:38:36.11200;0,000836443;0,001051528;-0,003895433
29.11.2023 12:38:36.11300;0,001864072;0,00028678;-0,003871535
29.11.2023 12:38:36.11400;0,003011194;-0,000501866;-0,004994757
29.11.2023 12:38:36.11500;0,00379984;-0,000836443;-0,006333066
29.11.2023 12:38:36.11600;0,003823738;-0,001338308;-0,007408492
29.11.2023 12:38:36.11700;0,002700515;-0,001266613;-0,007838663
29.11.2023 12:38:36.11800;0,0014578;-0,000979833;-0,007838663
29.11.2023 12:38:36.11900;0,000669154;-0,000382374;-0,008603411
29.11.2023 12:38:36.12000;0,000167289;0,000262882;-0,009320362
29.11.2023 12:38:36.12100;0,001577292;-0,000215085;-0,010300194
29.11.2023 12:38:36.12200;0,002939499;-0,001003731;-0,0116624
29.11.2023 12:38:36.12300;0,003011194;-0,001935767;-0,012522741
29.11.2023 12:38:36.12400;0,003752043;-0,002461531;-0,012857319
29.11.2023 12:38:36.12500;0,003465262;-0,002198649;-0,012259861
29.11.2023 12:38:36.12600;0,002079158;-0,002007462;-0,010897653
29.11.2023 12:38:36.12700;0,001242715;-0,0014578;-0,009487649
29.11.2023 12:38:36.12800;0,000716951;-0,000836443;-0,008555614
29.11.2023 12:38:36.12900;0,001003731;-0,000908138;-0,007575781
29.11.2023 12:38:36.13000;0,002007462;-0,001410003;-0,005902896
29.11.2023 12:38:36.13100;0,002581023;-0,001768479;-0,004994757
29.11.2023 12:38:36.13200;0,002222548;-0,001983564;-0,005042555
29.11.2023 12:38:36.13300;0,001959666;-0,001864072;-0,004325604
29.11.2023 12:38:36.13400;0,001672885;-0,000860341;-0,003274076
29.11.2023 12:38:36.13500;2,39E-05;-2,39E-05;-0,002557125
29.11.2023 12:38:36.13600;-0,001505597;0,000716951;-0,002437633
29.11.2023 12:38:36.13700;-0,002222548;0,001840174;-0,002867803
29.11.2023 12:38:36.13800;-0,002318141;0,001911869;-0,003082889
29.11.2023 12:38:36.13900;-0,000908138;0,001051528;-0,003728145
29.11.2023 12:38:36.14000;0,001218816;0,000334577;-0,004755774
29.11.2023 12:38:36.14100;0,00262882;-7,17E-05;-0,004994757
29.11.2023 12:38:36.14200;0,002748312;0,00028678;-0,003823738
29.11.2023 12:38:36.14300;0,002055259;0,001386105;-0,001147121
29.11.2023 12:38:36.14400;0,000621357;0,003011194;0,001720682
29.11.2023 12:38:36.14500;-0,001075426;0,004397299;0,004014925
29.11.2023 12:38:36.14600;-0,001553394;0,005090351;0,006237472
29.11.2023 12:38:36.14700;-0,000836443;0,005090351;0,007241204
29.11.2023 12:38:36.14800;0,000764748;0,004612384;0,006691542
29.11.2023 12:38:36.14900;0,002533227;0,004468994;0,005592217
29.11.2023 12:38:36.15000;0,003632551;0,004277807;0,004684079
29.11.2023 12:38:36.15100;0,003991026;0,004038823;0,00408662
29.11.2023 12:38:36.15200;0,003584754;0,004803571;0,003465262
29.11.2023 12:38:36.15300;0,002342039;0,005974591;0,003178482
29.11.2023 12:38:36.15400;0,000860341;0,006619846;0,003704246
29.11.2023 12:38:36.15500;-9,56E-05;0,006930525;0,004851367
29.11.2023 12:38:36.15600;-0,000167289;0,006524253;0,005759505
29.11.2023 12:38:36.15700;0,000740849;0,005855099;0,005974591
29.11.2023 12:38:36.15800;0,002389836;0,004994757;0,005855099
29.11.2023 12:38:36.15900;0,00423001;0,003871535;0,005783404
